file,label,category,app,mode,run_id,client_ip,duration_sec,total_packets,total_bytes,ul_packets,dl_packets,ul_bytes,dl_bytes,dl_ul_byte_ratio,dl_ul_packet_ratio,pkt_size_mean,pkt_size_std,pkt_size_p95,ul_pkt_size_mean,ul_pkt_size_std,dl_pkt_size_mean,dl_pkt_size_std,dl_pkt_size_p95,iat_mean,iat_std,iat_max,iat_p95,iat_skew,ul_iat_mean,ul_iat_std,dl_iat_mean,dl_iat_std,unique_dst_ips,bytes_per_second,packets_per_second,time_to_first_ul,time_to_first_dl,ul_to_dl_gap,early_packets,early_bytes,early_ul_bytes,early_dl_bytes,early_ul_packets,early_dl_packets,early_dl_ul_byte_ratio,early_dl_ul_packet_ratio,early_pkt_size_mean,early_iat_mean,early_iat_std,mid_packets,mid_bytes,mid_ul_bytes,mid_dl_bytes,mid_ul_packets,mid_dl_packets,mid_dl_ul_byte_ratio,mid_dl_ul_packet_ratio,mid_pkt_size_mean,mid_iat_mean,mid_iat_std,late_packets,late_bytes,late_ul_bytes,late_dl_bytes,late_ul_packets,late_dl_packets,late_dl_ul_byte_ratio,late_dl_ul_packet_ratio,late_pkt_size_mean,late_iat_mean,late_iat_std,num_bursts,avg_burst_size,max_burst_size,avg_burst_bytes,max_burst_bytes,burst_duration_mean,burst_duration_max,burst_interarrival_mean,num_idle_periods,idle_time_mean,idle_time_max,idle_time_total,window_pkt_rate_mean,window_pkt_rate_std,window_pkt_rate_max,window_bytes_rate_mean,window_bytes_rate_std,window_bytes_rate_max
genai_chatgpt_audio_01_packets.csv,genai,,chatgpt,audio,1,192.168.137.80,332.4616,36057,27024309.0,12459,23598,2068392.0,24955917.0,12.065371070860843,1.8940524921743318,749.4885597803478,565.5356112665996,1304.0,166.01589212617384,239.07230247226101,1057.5437325197051,428.8024294641376,1304.0,0.009220445405885125,0.06342033678050159,5.9439649999999915,0.060150999999973406,40.62776083612102,0.01574809358696531,0.08855137065933193,0.005774052970590693,0.04440258583998148,39,81285.50485228971,108.45463054981388,0.0,0.001659,0.001659,4108,1210634.0,645603.0,565031.0,2417,1691,0.875198845110695,0.6996276375672321,294.70155793573514,0.02695983909444985,0.09815339578528735,26850,24793734.0,689074.0,24104660.0,6799,20051,34.9812356873137,2.9491101632593026,923.4165363128492,0.004121086741154563,0.058895103768761094,5099,1019941.0,733715.0,286226.0,3243,1856,0.3901051498197529,0.5723095898859081,200.0276524808786,0.021780624043930177,0.043236960070805235,779,46.28626444159178,2428.0,34691.02567394095,2316376.0,0.21435383825417237,5.988920000000007,0.21269917737789162,49,1.271897326530614,5.9439649999999915,62.322969000000086,115.19808306709265,421.3068789829628,4184.0,86339.64536741214,420392.7502799357,4366480.0
genai_chatgpt_audio_02_packets.csv,genai,,chatgpt,audio,2,192.168.137.109,446.460153,56991,10369916.0,25072,31919,4274616.0,6095300.0,1.4259292530603918,1.2730934907466496,181.95708094260496,240.63746594440136,331.0,170.4936183790683,170.34874904636345,190.96149628747767,283.5747653163935,1242.0,0.007833871190187924,0.010069310435589823,0.9191870000000222,0.02014150000000825,27.858047174731773,0.004693457482450407,0.006550231369172648,0.010300629311695337,0.011554284306777516,56,23226.968701056732,127.65080963451625,0.0,0.033033,0.033033,18764,3614415.0,1486101.0,2128314.0,8197,10567,1.4321462673129215,1.2891301695742345,192.6249733532296,0.007930410200383714,0.010831264560395511,18453,2867101.0,1353010.0,1514091.0,8209,10244,1.1190538133494947,1.2478986478255574,155.37316425513467,0.008065484040535415,0.007411024181504602,19774,3888400.0,1435505.0,2452895.0,8666,11108,1.7087331635905134,1.2817909069928457,196.64205522403157,0.007526123141498937,0.011379768503408804,18,3166.1666666666665,36370.0,576106.4444444445,5798858.0,24.48940638888889,292.231605,0.3324022352941155,5,0.6292766000000017,0.9191870000000222,3.1463830000000086,127.49664429530202,55.719181893370106,793.0,23198.917225950783,46435.92288101442,713719.0
genai_chatgpt_text_01_packets.csv,genai,,chatgpt,text,1,192.168.137.80,423.286492,4637,1027631.0,1832,2805,454267.0,573364.0,1.2621740077971766,1.5311135371179039,221.61548414923442,327.54024293786557,1304.0,247.9623362445415,402.96649740954535,204.4078431372549,265.69055278388413,964.0,0.0912845572568471,0.44028055378825165,17.344720999999993,0.2131699999999966,24.315446339439227,0.10052101637554582,0.5486978432935922,0.08525204634581107,0.3518639152971615,38,2427.7434300927325,10.954755437837123,0.0,0.099698,0.099698,1465,482298.0,252294.0,230004.0,695,770,0.9116506932388404,1.1079136690647482,329.2136518771331,0.09625128054607508,0.3460625939699909,2295,360569.0,113677.0,246892.0,713,1582,2.1718729382372866,2.2187938288920055,157.1106753812636,0.05865472461873639,0.20050512337854431,877,184764.0,88296.0,96468.0,424,453,1.0925523240010873,1.0683962264150944,210.67730900798176,0.16837602394526796,0.8436108736209255,1318,3.5182094081942337,115.0,779.6896813353566,45661.0,0.04714510166919605,1.1121210000000001,0.27422114502657524,99,1.8268584747474734,17.344720999999993,180.85898899999987,14.137195121951219,14.387476101151284,171.0,3133.0213414634145,5585.915365770346,71651.0
genai_chatgpt_text_02_packets.csv,genai,,chatgpt,text,2,192.168.137.80,381.932889,7072,3961597.0,2908,4164,594482.0,3367115.0,5.6639477730192,1.4319119669876204,560.1805712669683,574.7674581470087,1304.0,204.42984869325997,359.86984359713614,808.6251200768492,566.1671870080363,1304.0,0.054006347426470584,0.2650409096061689,8.018129999999985,0.14948685000002937,15.887355669083119,0.06991870426409882,0.34976604090775376,0.042893683237272,0.1832737974321754,37,10372.495048469105,18.51634201630643,2.719837,0.0,-2.719837,4411,3001403.0,344436.0,2656967.0,1664,2747,7.713964277833909,1.6508413461538463,680.4359555656314,0.02859745159827704,0.16786249287772653,1607,631118.0,143162.0,487956.0,735,872,3.4084184350595828,1.1863945578231292,392.7305538270069,0.07987519041692595,0.2937599148595711,1054,329076.0,106884.0,222192.0,509,545,2.0788144156281576,1.0707269155206287,312.2163187855787,0.1209014222011385,0.462476865383897,1317,5.369779802581625,409.0,3008.046317388003,379870.0,0.033882400151860455,1.2526959999999985,0.25631441337385996,87,1.7958366666666656,8.018129999999985,156.2377899999999,23.18688524590164,69.95770215348229,804.0,12988.84262295082,61285.31150403173,728238.0
genai_chatgpt_text_03_packets.csv,genai,,chatgpt,text,3,192.168.137.80,376.032107,4849,2348738.0,2147,2702,633697.0,1715041.0,2.706405427199434,1.2585002328830928,484.37574757681995,537.878617396121,1304.0,295.15463437354447,443.719658617162,634.7301998519615,558.3721800165176,1304.0,0.07754838255310373,0.3607002207017907,8.132470000000005,0.18330759999997767,12.342816550964365,0.09481096599906867,0.4417957725456464,0.0638315925240561,0.27932281597108205,33,6246.110255686225,12.895175464365334,0.0,0.001502,0.001502,2348,1360806.0,321808.0,1038998.0,996,1352,3.228627007408144,1.357429718875502,579.5596252129471,0.05334660775127768,0.2926194726539838,1573,654701.0,171993.0,482708.0,698,875,2.806556080770729,1.2535816618911175,416.2116973935156,0.07973394278448824,0.31044906341770634,928,333231.0,139896.0,193335.0,453,475,1.381990907531309,1.0485651214128036,359.0851293103448,0.13507842672413792,0.5434927936509444,1020,4.753921568627451,363.0,2302.68431372549,361919.0,0.03694214607843146,1.254128999999999,0.332042314033366,112,1.8014143482142841,8.132470000000005,201.75840699999983,17.761904761904763,40.00815743150922,527.0,8603.435897435897,33387.494617191194,450223.0
genai_chatgpt_text_04_packets.csv,genai,,chatgpt,text,4,192.168.137.213,268.771202,11088,8985268.0,3472,7616,572460.0,8412808.0,14.695887922300248,2.193548387096774,810.3596681096681,586.0623965464458,1304.0,164.8790322580645,306.2461322463674,1104.6228991596638,425.1515416305178,1304.0,0.024239827020202023,0.3224312401537241,19.232989000000003,0.11689960000000192,49.167334755707415,0.03159617482718892,0.1872655460146147,0.020886197872899172,0.36788864096589163,35,33430.91794484738,41.25441980945563,0.0,0.0,0.0,5104,4075020.0,317086.0,3757934.0,1657,3447,11.851466163753681,2.08026554013277,798.3973354231975,0.017477037421630093,0.11540410362460067,5213,4527887.0,206500.0,4321387.0,1483,3730,20.926813559322035,2.5151719487525286,868.576059850374,0.017244244580855553,0.13223922051742976,771,382361.0,48874.0,333487.0,332,439,6.823403036379261,1.322289156626506,495.92866407263296,0.11630889234760053,1.131884933179,740,14.983783783783784,696.0,12142.254054054054,797769.0,0.052648774324324764,0.7375490000000013,0.3109757902571038,58,2.283292172413794,19.232989000000003,132.43094600000003,58.05235602094241,175.446670206434,1564.0,47043.28795811519,179630.0719948634,1772983.0
genai_chatgpt_text_05_packets.csv,genai,,chatgpt,text,5,192.168.137.213,305.928167,30749,31818703.0,5530,25219,667610.0,31151093.0,46.66061473015683,4.560397830018083,1034.7882207551465,501.10782543821267,1304.0,120.7251356238698,225.78676584169972,1235.2231650739523,267.5888659395865,1304.0,0.009949207031122962,0.1218425541191375,6.635843000000008,0.018693200000012518,32.39422460007188,0.026848675226039793,0.22619605641965554,0.006243506602165031,0.08250425917817494,33,104007.10504044566,100.51052278556621,1.160143,0.0,-1.160143,18594,19571762.0,367292.0,19204470.0,3229,15365,52.28665475970073,4.758439145246206,1052.5848123050446,0.005141275787888566,0.07091930924418649,10451,10909931.0,176934.0,10732997.0,1848,8603,60.661020493517356,4.65530303030303,1043.912639938762,0.010356769687111283,0.13714159743675633,1704,1337010.0,123384.0,1213626.0,453,1251,9.83617000583544,2.76158940397351,784.6302816901408,0.05991354753521124,0.3081694297746341,873,35.22222222222222,2496.0,36447.540664375716,2925200.0,0.049832907216494915,1.118748,0.30094499885321085,84,1.7653953452380948,6.635843000000008,148.29320899999996,135.4581497797357,463.2663483612803,3704.0,140170.49779735683,531709.3691363165,4364451.0
genai_chatgpt_text_06_packets.csv,genai,,chatgpt,text,6,192.168.137.109,288.437407,2913,1609728.0,1411,1502,820332.0,789396.0,0.962288439314814,1.0644932671863927,552.6014418125644,548.0190826323835,1441.0,581.3834160170093,584.0736762351781,525.5632490013315,510.56063520351523,1322.0,0.09901730415379334,0.5566873372302723,11.212596999999988,0.29034859999999346,11.848120481713325,0.10928392345853992,0.5617590577674584,0.08937269707057269,0.5518935967121497,29,5580.857270707609,10.099244859734855,0.0,1.151845,1.151845,1554,981468.0,451343.0,530125.0,740,814,1.1745501758086423,1.1,631.5752895752896,0.060836351994851996,0.4127994978413333,668,298923.0,166960.0,131963.0,326,342,0.7903869190225203,1.049079754601227,447.48952095808386,0.14486006886227545,0.7063109189109017,691,329337.0,202029.0,127308.0,345,346,0.6301471570913086,1.0028985507246377,476.6092619392185,0.14056612156295226,0.6595812989875458,346,8.419075144508671,339.0,4652.393063583815,256451.0,0.06323785260115541,1.046754,0.7726293043478268,94,2.2311982765957454,11.212596999999988,209.73263800000007,17.44311377245509,33.14600864419719,246.0,9639.08982035928,23690.874392216665,171141.0
genai_chatgpt_text_07_packets.csv,genai,,chatgpt,text,7,192.168.137.213,581.480221,3443,1484490.0,1559,1884,431704.0,1052786.0,2.4386755740044106,1.2084669660038487,431.161777519605,551.8543503187185,1514.0,276.9108402822322,441.4531310173032,558.8036093418259,599.5327439473449,1514.0,0.16888766221318618,1.1292918758847958,14.830998999999963,0.21580830000000145,9.195118505667294,0.31005377421423963,1.5996630600641806,0.0520734538216563,0.4286642489223513,21,2552.9501200351233,5.9210956377482695,0.0,0.00626,0.00626,2383,1190592.0,319009.0,871583.0,1032,1351,2.7321580268895236,1.309108527131783,499.6189676877885,0.08009119093579521,0.6237415964498497,373,67204.0,36869.0,30335.0,190,183,0.8227779435297947,0.9631578947368421,180.17158176943698,0.5149876997319035,1.970901035253054,687,226694.0,75826.0,150868.0,337,350,1.9896605386015351,1.0385756676557865,329.97671033478895,0.28898471761280936,1.6835958307959507,275,12.52,1009.0,5398.145454545454,699947.0,0.07602372363636342,1.163257,2.04588940510949,114,4.613882114035088,14.830998999999963,525.982561,22.07051282051282,79.52837693427318,979.0,9515.961538461539,55602.58592615932,691453.0
genai_chatgpt_text_08_packets.csv,genai,,chatgpt,text,8,192.168.137.213,461.809752,1696,576589.0,845,851,274223.0,302366.0,1.102628152999566,1.0071005917159763,339.969929245283,472.59456668898315,1466.0,324.5242603550296,467.69081407939257,355.3066980023502,477.1939905837055,1514.0,0.2722934858490566,1.6191130141046364,18.901048000000003,0.5534787500000036,8.106150271668536,0.4501124071005918,2.162578032573143,0.0957282820211515,0.7219807481206761,19,1248.542278509528,3.6725079811653694,0.0,0.008754,0.008754,1123,479718.0,228440.0,251278.0,547,576,1.099973734897566,1.053016453382084,427.1754229741763,0.1370311932324132,1.1429343462917758,321,54621.0,25829.0,28792.0,169,152,1.1147160168802508,0.8994082840236687,170.15887850467288,0.46942578816199376,2.1104240690849116,252,42250.0,19954.0,22296.0,129,123,1.1173699508870403,0.9534883720930233,167.65873015873015,0.623960492063492,2.4351269068588723,156,10.871794871794872,251.0,3696.0833333333335,134789.0,0.08495151282051218,1.0490929999999992,2.893918167741936,86,5.066366755813953,18.901048000000003,435.707541,14.252100840336135,26.447010816768827,202.0,4845.285714285715,12952.868471097048,105174.0
