file,label,category,app,mode,run_id,client_ip,duration_sec,total_packets,ul_packets,dl_packets,ul_bytes,dl_bytes,dl_ul_byte_ratio,dl_ul_packet_ratio,pkt_size_mean,pkt_size_std,pkt_size_p95,pkt_size_p50,p95_p50,ul_pkt_size_mean,ul_pkt_size_std,ul_pkt_size_p95,ul_pkt_size_p50,ul_p95_p50,dl_pkt_size_mean,dl_pkt_size_std,dl_pkt_size_p95,dl_pkt_size_p50,dl_p95_p50,iat_mean,iat_std,iat_max,ul_iat_mean,ul_iat_std,ul_iat_max,dl_iat_mean,dl_iat_std,dl_iat_max,unique_src_ips,unique_dst_ips,bytes_per_second
genai_chatgpt_audio_01_packets.csv,genai,,chatgpt,audio,1,192.168.137.80,332.4616,36057,12459,23598,2068392.0,24955917.0,12.065371070860843,1.8940524921743318,749.4885597803478,565.5356112665996,1304.0,1234.0,70.0,166.01589212617384,239.07230247226101,741.0999999999985,66.0,675.0999999999985,1057.5437325197051,428.8024294641376,1304.0,1234.0,70.0,0.009220445405885125,0.06342033678050159,5.9439649999999915,0.01574809358696531,0.08855137065933193,5.9439649999999915,0.005774052970590693,0.04440258583998148,2.68965399999999,31,39,81285.50485228971
genai_chatgpt_audio_02_packets.csv,genai,,chatgpt,audio,2,192.168.137.109,446.460153,56991,25072,31919,4274616.0,6095300.0,1.4259292530603918,1.2730934907466496,181.95708094260496,240.63746594440136,331.0,127.0,204.0,170.4936183790683,170.34874904636345,168.0,150.0,18.0,190.96149628747767,283.5747653163935,1242.0,127.0,1115.0,0.007833871190187924,0.010069310435589823,0.9191870000000222,0.004693457482450407,0.006550231369172648,0.4471859999999994,0.010300629311695337,0.011554284306777516,0.9191870000000222,54,56,23226.968701056732
genai_chatgpt_text_01_packets.csv,genai,,chatgpt,text,1,192.168.137.80,423.286492,4637,1832,2805,454267.0,573364.0,1.2621740077971766,1.5311135371179039,221.61548414923442,327.54024293786557,1304.0,134.0,1170.0,247.9623362445415,402.96649740954535,1304.0,66.0,1238.0,204.4078431372549,265.69055278388413,964.0,134.0,830.0,0.0912845572568471,0.44028055378825165,17.344720999999993,0.10052101637554582,0.5486978432935922,17.344720999999993,0.08525204634581107,0.3518639152971615,14.637457999999981,31,38,2427.7434300927325
genai_chatgpt_text_02_packets.csv,genai,,chatgpt,text,2,192.168.137.80,381.932889,7072,2908,4164,594482.0,3367115.0,5.6639477730192,1.4319119669876204,560.1805712669683,574.7674581470087,1304.0,150.0,1154.0,204.42984869325997,359.86984359713614,1304.0,66.0,1238.0,808.6251200768492,566.1671870080363,1304.0,1292.0,12.0,0.054006347426470584,0.2650409096061689,8.018129999999985,0.06991870426409882,0.34976604090775376,6.433675000000001,0.042893683237272,0.1832737974321754,8.018129999999985,23,37,10372.495048469105
genai_chatgpt_text_03_packets.csv,genai,,chatgpt,text,3,192.168.137.80,376.032107,4849,2147,2702,633697.0,1715041.0,2.706405427199434,1.2585002328830928,484.37574757681995,537.878617396121,1304.0,130.0,1174.0,295.15463437354447,443.719658617162,1304.0,66.0,1238.0,634.7301998519615,558.3721800165176,1304.0,368.5,935.5,0.07754838255310373,0.3607002207017907,8.132470000000005,0.09481096599906867,0.4417957725456464,8.132470000000005,0.0638315925240561,0.27932281597108205,6.512312999999992,23,33,6246.110255686225
genai_chatgpt_text_04_packets.csv,genai,,chatgpt,text,4,192.168.137.213,268.771202,11088,3472,7616,572460.0,8412808.0,14.695887922300248,2.193548387096774,810.3596681096681,586.0623965464458,1304.0,1292.0,12.0,164.8790322580645,306.2461322463674,1304.0,66.0,1238.0,1104.6228991596638,425.1515416305178,1304.0,1304.0,0.0,0.024239827020202023,0.3224312401537241,19.232989000000003,0.03159617482718892,0.1872655460146147,4.703490000000002,0.020886197872899172,0.36788864096589163,19.232989000000003,29,35,33430.91794484738
genai_chatgpt_text_05_packets.csv,genai,,chatgpt,text,5,192.168.137.213,305.928167,30749,5530,25219,667610.0,31151093.0,46.66061473015683,4.560397830018083,1034.7882207551465,501.10782543821267,1304.0,1304.0,0.0,120.7251356238698,225.78676584169972,472.6500000000078,66.0,406.6500000000078,1235.2231650739523,267.5888659395865,1304.0,1304.0,0.0,0.009949207031122962,0.1218425541191375,6.635843000000008,0.026848675226039793,0.22619605641965554,6.635843000000008,0.006243506602165031,0.08250425917817494,6.049815000000024,26,33,104007.10504044566
genai_chatgpt_text_06_packets.csv,genai,,chatgpt,text,6,192.168.137.109,288.437407,2913,1411,1502,820332.0,789396.0,0.962288439314814,1.0644932671863927,552.6014418125644,548.0190826323835,1441.0,267.0,1174.0,581.3834160170093,584.0736762351781,1444.0,143.0,1301.0,525.5632490013315,510.56063520351523,1322.0,326.0,996.0,0.09901730415379334,0.5566873372302723,11.212596999999988,0.10928392345853992,0.5617590577674584,7.976550000000003,0.08937269707057269,0.5518935967121497,11.212596999999988,28,29,5580.857270707609
genai_chatgpt_text_07_packets.csv,genai,,chatgpt,text,7,192.168.137.213,581.480221,3443,1559,1884,431704.0,1052786.0,2.4386755740044106,1.2084669660038487,431.161777519605,551.8543503187185,1514.0,97.0,1417.0,276.9108402822322,441.4531310173032,1454.0,66.0,1388.0,558.8036093418259,599.5327439473449,1514.0,183.5,1330.5,0.16888766221318618,1.1292918758847958,14.830998999999963,0.31005377421423963,1.5996630600641806,14.830998999999963,0.0520734538216563,0.4286642489223513,14.090653999999972,20,21,2552.9501200351233
genai_chatgpt_text_08_packets.csv,genai,,chatgpt,text,8,192.168.137.213,461.809752,1696,845,851,274223.0,302366.0,1.102628152999566,1.0071005917159763,339.969929245283,472.59456668898315,1466.0,94.0,1372.0,324.5242603550296,467.69081407939257,1454.0,78.0,1376.0,355.3066980023502,477.1939905837055,1514.0,105.0,1409.0,0.2722934858490566,1.6191130141046364,18.901048000000003,0.4501124071005918,2.162578032573143,18.901048000000003,0.0957282820211515,0.7219807481206761,12.850876999999969,19,19,1248.542278509528
